X,Y,Name,description
30.334215,-2.0760154,Runzenze 78,
30.3345,-2.0757863,Runzenze 33,
30.334884,-2.0756867,Runzenze 55,
30.334652,-2.075355,Runzenze 32,
30.335346,-2.0757102,Runzenze 8,
30.335517,-2.0755551,Runzenze 5,
30.333373,-2.0734992,Runzenze 29,
30.335707,-2.0757095,Runzenze 66,
30.336655,-2.075145,Runzenze 40,
30.344969,-2.0778673,Runzenze 12,
30.344553,-2.0797677,Runzenze 45,
30.344494,-2.0812289,Runzenze 10,
30.343958,-2.0811421,Runzenze 65,
30.343161,-2.0817365,Runzenze 24,
30.341737,-2.0822277,Runzenze 68,
30.340896,-2.0827959,Runzenze 13,
30.337183,-2.0828871,Runzenze 39,
30.338159,-2.0809511,Runzenze 44,
30.338435,-2.0801118,Runzenze 52,
30.340454,-2.0800663,Runzenze 50,
30.340834,-2.0797744,Runzenze 51,
30.341767,-2.0800492,Runzenze 17,
30.342034,-2.0794441,Runzenze 64,
30.342216,-2.0791204,Runzenze 18,
30.3424,-2.0787458,Runzenze 61,
30.338115,-2.0800743,Runzenze 49,
30.337685,-2.0808714,Runzenze 35,
30.33766,-2.0808375,Runzenze 20,
30.354656,-2.0683818,Kajevuba drop off point,
30.353726,-2.0779092,Cyarugaju drop off point,
30.351233,-2.0596797,Kabeza drop off point,
30.360267,-2.0692,Kajevuba Drop off point 2,
30.359676,-2.0681101,Kajevuba 96,Retard service receipients
30.341249,-2.086961,Karuyenzi 47,
30.341344,-2.0878228,Karuyenzi 3,
30.340951,-2.0875678,Karuyenzi 46,
30.340351,-2.0868354,Karuyenzi 51,
30.338846,-2.0873393,Karuyenzi 22,
30.338985,-2.0874582,Karuyenzi 5,
30.334372,-2.0907039,Karuyenzi 13,
30.331718,-2.0894897,Karuyenzi 37,
30.333622,-2.0891104,Karuyenzi 7,
30.337231,-2.0863753,Karuyenzi 1,
30.336767,-2.0860832,Karuyenzi 33,
30.335414,-2.0865921,Karuyenzi 11,
30.33566,-2.0868987,Karuyenzi 14,
30.335157,-2.0865372,Karuyenzi 6,
30.334644,-2.0863492,Karuyenzi 9,
30.3345,-2.0863606,Karuyenzi 10,
30.334812,-2.0867543,Karuyenzi 50,
30.332879,-2.0867797,Karuyenzi Drop off point,
30.335201,-2.0757273,Runzenze 9,
30.35313,-2.0587331,Kabeza 19 EE,
30.353056,-2.0585666,Kabeza 23 EE,
30.353207,-2.0584242,Kabeza 22 EE,
30.353288,-2.0589513,Kabeza 20 EE,
30.35334,-2.0589982,Kabeza 27 EE,
30.353503,-2.0592083,Kabeza 21 EE,
30.353212,-2.0592642,Kabeza 25 EE⭐️,
30.353046,-2.0592387,Kabeza 24 EE,
30.352783,-2.0586058,Kabeza 28 EE,
30.35255,-2.0586846,Kabeza 26 EE,
30.331785,-2.0850153,Karuyenzi 16,
30.331795,-2.0850703,Karuyenzi 35,
30.331931,-2.0854261,Karuyenzi 38,
30.332244,-2.0861696,Karuyenzi 41,
30.332455,-2.0860363,Karuyenzi 40,
30.33153,-2.0874797,Karuyenzi 32,
30.333969,-2.0878539,Karuyenzi 28,
30.334367,-2.0871088,Karuyenzi 29,
30.335301,-2.0861123,Karuyenzi 2,
30.335456,-2.0857501,Karuyenzi 45,
30.335497,-2.0844213,Karuyenzi 8,
30.336645,-2.0856637,Karuyenzi 15,
30.337707,-2.0856389,Karuyenzi 27,
30.337865,-2.0855766,Karuyenzi 4,
30.338096,-2.0855712,Karuyenzi 18,
30.337904,-2.0849044,Karuyenzi 52,
30.337848,-2.0851993,Karuyenzi 34,
30.331398,-2.079637,Karuyenzi 36,
30.332879,-2.0805936,Karuyenzi 19,
30.33267,-2.0812215,Karuyenzi 42,
30.332873,-2.0823979,Karuyenzi 25,
30.332714,-2.0822692,Karuyenzi 43,
30.332268,-2.0824465,Karuyenzi 26,
30.331861,-2.0833789,Karuyenzi 31,
30.331666,-2.0841529,Karuyenzi 49,
30.331557,-2.0843844,Karuyenzi 30,
30.329536,-2.0862202,Cyanyirampazi 13,
30.329924,-2.0867935,Cyanyirampazi 36,
30.330204,-2.0869158,Cyanyirampazi 7,
30.330351,-2.0869948,Cyanyirampazi 2,
30.351688,-2.0748173,Cyarugaju 74,
30.341088,-2.0864447,Karuyenzi 20,
30.343205,-2.0843744,Karuyenzi 21,
30.345036,-2.084034,Karuyenzi 39,
30.342554,-2.0823694,Karuyenzi 48,
30.338187,-2.0830683,Karuyenzi 23,
30.338236,-2.0836845,Karuyenzi 17,
30.33608,-2.0837857,Karuyenzi 12,
30.334934,-2.0827919,Karuyenzi 44,
30.333587,-2.0831494,Karuyenzi 24,
